BindingDB_MonomerID,Affinities
50204184,7.9586
50204185,8.3979
50204186,7.5686
50204187,8.2441
50204188,7.8539
50204189,7.5376
50204190,7.0506
50204191,7.3565
50204192,7.301
50204193,7.4318
50204194,8.2518
50204195,8.1549
50204196,6.9666
50204197,8.1805
50204198,6.8125
50204199,7.585
50204200,7.699
50204201,6.7825
50204202,7.6021
50204203,7.4202
50205157,7.3556
50205159,7.6383
50205160,8.1487
50205161,7.7959
50205162,6.5494
50205163,7.4168
50205164,8.4949
50205165,7.7959
50205166,9.5229
50205167,8.5528
50205168,7.2716
50205169,7.5258
50205171,5.7728
50205172,8.1308
50205173,7.7144
50205174,7.8125
50205175,7.4295
50205176,7.9706
50205177,8.0132
50205178,6.0731
50205179,7.9431
50205180,5.69
50205181,8.2924
50205182,7.1238
50205183,7.9101
50205184,7.68
50205185,7.8239
50205186,7.6757
50205187,7.3788
50205188,7.6635
50205189,7.857
50207240,5.1841
50207244,6.0379
50207246,5.2006
50207247,5.1212
50207251,5.4577
50207254,5.4237
50207255,6.199
50207258,6.1109
50207265,5.1249
50207267,5.2282
50207269,5.1841
50207271,6.0567
50208947,7.4685
50208948,8.6576
50208949,7.7447
50208950,6.8861
50208951,8.3098
50208952,7.5376
50208953,6.5686
50208954,7.6021
50208955,8.3372
50208956,8.0862
50208957,6.2076
50208958,7.4437
50208959,7.3872
50208960,7.4089
50208961,7.6778
50208962,6.0362
50208963,7.0132
50208964,7.7212
50208965,7.6576
50208966,7.6576
50208967,7.699
50208968,8.301
50208969,8.2007
50208970,7.7696
50208971,8
50208972,8.2441
50208973,8.1427
50208974,8.7212
50208975,8.4318
50208976,7.7696
50208977,7.5376
50208978,8.1612
50208979,7.7447
50208980,7.0223
50208981,5.9586
50208982,8.0458
50208983,6.0269
50208984,7.1249
50211604,8.4437
50211605,7.2475
50211606,6.6904
50211607,5.5608
50211608,6.5114
50211609,8.3872
50211610,8.5376
50211611,8
50211612,6.8665
50211613,6.7167
50211614,7.6576
50211615,6.9245
50211616,8.3098
50211617,8.9586
50211618,7.2366
50211619,9.0458
50211620,8.301
50211621,7.7696
50211622,6.8894
50211623,8.2366
50211624,5.9027
50211626,8.1549
50211627,8.6021
50211628,8.4318
50211629,8.6021
50211630,7.6778
50211631,7.2168
50211632,8.8861
50211633,5.8952
50211634,6.9393
50211635,5.4031
50211636,8.8539
50211637,7.8416
50211638,8.0506
50211639,7.6021
50211640,5.959
50211641,6.8539
50212239,5
50212395,8.6198
50212599,5.7122
50213136,6.4437
50213137,6.0757
50213138,5.4089
50213139,7.6383
50213140,6.4949
50213141,8.7696
50213143,6.7959
50213144,6.4318
50213145,5.8239
50213148,6.6383
50213149,8.3372
50213150,8.5376
50213151,7.6198
50213152,6.4318
50213153,6.9208
50213154,7.8861
50213155,8.7696
50213156,5.6576
50213157,6.2218
50213158,7.0969
50213160,7.8239
50213162,6.4949
50213163,8.2274
50213164,8.7447
50213165,5.8539
50213167,7.3098
50213168,5.9586
50213169,7.5686
50213170,7.0177
50213171,7.041
50213173,8.284
50213175,7.4089
50213176,7.4685
50213462,7.6021
50213463,6.6234
50213464,6.6925
50213465,7.3468
50213466,6.7496
50213467,7.7447
50213468,7.8539
50213469,5.4148
50213470,6.8013
50213471,6.9788
50213472,6.9586
50213473,6.5229
50213474,5.0742
50213475,6.7496
50213476,7.2291
50213477,7.4089
50213478,7.4815
50213479,7.301
50213480,6.7773
50213481,5.6232
50213482,6.2
50213483,6.5003
50213484,6.6253
50213485,6.3372
50213486,8.301
50213487,6.1831
50213595,6.8681
50213596,6.1781
50213597,6.4983
50213598,6.1214
50213599,9.3665
50213600,6.5918
50213601,6.5272
50213602,6.1976
50213603,7.7212
50213604,5.899
50213605,9.0269
50213606,7.2303
50213607,9.4685
50213608,6.7212
50213609,8.6606
50213610,6.8508
50213611,8.4089
50213612,8.5686
50213613,7.8539
50213614,7.9626
50213881,6.9136
50213882,5.8996
50213883,6.9431
50213884,7.3565
50213885,6.3788
50213886,7.7615
50213887,6.762
50213888,6.2668
50213889,7.8239
50213890,6.1481
50213891,6.9666
50213892,6.1175
50213893,7.0706
50213895,6.6144
50213896,5.8239
50213897,7
50213898,5.762
50213899,7.8861
50213900,6.6091
50213901,6.1733
50213902,6.4023
50213903,6.4461
50213904,7.0223
50213906,6.289
50215224,7.2218
50215227,6.1249
50215228,6.7212
50215229,7.2518
50215230,6.8861
50215231,7.8861
50215232,8.284
50215234,6.5086
50215235,6.1249
50215238,6.585
50215239,6.7696
50215240,7.7959
50215242,6.2924
50215243,5.5498
50215244,5.6778
50215245,6.2518
50215246,5.6778
50217074,5.699
50217077,5.585
50217078,5.8539
50217213,9.0969
50217214,8.7447
50217215,8.699
50217216,9.1458
50217217,9.1135
50217218,8.8861
50217220,9.3279
50217221,9.0458
50217222,9.0458
50217223,9.0458
50217224,8.7447
50218116,7.027
50218118,5.9586
50218119,6.7959
50218120,6.5229
50218121,7.6021
50218122,6.0315
50218123,7.3188
50218270,5.7696
50221708,6.7103
50221709,6.8816
50221710,8.068
50221711,8.0521
50221712,7.0638
50221713,7.1025
50221714,8.5622
50221715,8.2588
50222785,6.8239
50222786,5.2088
50222787,7.6968
50222788,5.6325
50222789,5.8952
50222790,6.158
50222792,5.5619
50222793,6.219
50222794,5.6714
50222795,6.71
50222796,5.5355
50222797,6.5544
50222798,6.0872
50222799,5.8318
50222800,6.58
50222801,5.7421
50222802,5.1413
50222803,6.4698
50222804,6.7545
50222805,7.1785
50222806,5.5198
50222807,6.3788
50222808,6.1818
50222809,6.4672
50222810,6.5867
50222811,6.8633
50222812,6.1085
50222814,6.0119
50222830,5.3872
50222831,7.7212
50222832,5.9208
50222833,6.0809
50222834,5.7212
50222836,5.9586
50222837,5.8239
50222841,7.2757
50222843,5.4559
50222844,6.1612
50222845,6.8539
50225147,6.2518
50225148,6.5376
50225149,6.2518
50225150,5.2518
50225152,7.7696
50225154,6.2076
50225155,5.5528
50225156,6.7696
50225157,5.5346
50226179,6.5736
